obra,lugar,lugar_normalizado,Tipo,menciones,lng,lat,ID_Wikidata
Primera parte,Florencia,Florence,"Continente, país, región, ciudad, pueblo",3,11.25416667,43.77138889,Q2044
Primera parte,Francia,France,"Continente, país, región, ciudad, pueblo",9,2,47,Q142
Primera parte,Gaeta,Gaeta,"Continente, país, región, ciudad, pueblo",1,13.56666667,41.21666667,Q128089
Primera parte,Goleta,La Goulette,"Continente, país, región, ciudad, pueblo",12,10.306377,36.819111,Q798445
Primera parte,Gran Bretaña,United Kingdom,"Continente, país, región, ciudad, pueblo",2,-2,54.6,Q145
Primera parte,Granada,Granada,"Continente, país, región, ciudad, pueblo",1,-3.600833333,37.17805556,Q8810
Primera parte,Grecia,Greece,"Continente, país, región, ciudad, pueblo",7,23,38.5,Q41
Primera parte,Guadalajara,Guadalajara,"Continente, país, región, ciudad, pueblo",1,-3.166666667,40.63333333,Q11953
Primera parte,Guadarrama,Guadarrama River,Accidente geográfico,1,-4.169166667,39.88194444,Q16507
Primera parte,Guadiana,Guadiana,Accidente geográfico,2,-3.733,39.1316,Q14305
Primera parte,Guinea,Guinea,"Continente, país, región, ciudad, pueblo",2,1.243047,6.596835,Q207887
Primera parte,Henares,Henares river,Accidente geográfico,2,-3.501069444,40.4048,Q16510
Primera parte,Iberia,Iberia,"Continente, país, región, ciudad, pueblo",1,41.44,43.24,Q19083
Primera parte,India,India,"Continente, país, región, ciudad, pueblo",1,83,22.8,Q668
Primera parte,Indias,Indies,"Continente, país, región, ciudad, pueblo",6,-96,19,Q26219948
Primera parte,Inglaterra,England,"Continente, país, región, ciudad, pueblo",6,-1,53,Q21
Primera parte,Islas de Riarán,Arriarán,"Continente, país, región, ciudad, pueblo",1,-4.421802831,36.71731002,X
Primera parte,Israel,Israel,"Continente, país, región, ciudad, pueblo",1,35,31,Q801
Primera parte,Italia,Italy,"Continente, país, región, ciudad, pueblo",3,12.5,42.5,Q38
Primera parte,Italias,Italias,"Continente, país, región, ciudad, pueblo",1,12.5,42.5,Q38
Primera parte,Jerez,Jerez de la Frontera,"Continente, país, región, ciudad, pueblo",1,-6.116666667,36.7,Q12303
Primera parte,Jerusalén,Jerusalem,"Continente, país, región, ciudad, pueblo",1,35.22555556,31.77888889,Q1218
Primera parte,La Mancha,La Mancha,"Continente, país, región, ciudad, pueblo",50,-3.015,39.4011,Q844209
Primera parte,La Pata,Al-Batha,"Monumento, edificio, calle",1,45.877473,31.118872,Q12184507
Primera parte,La Rochela,La Rochelle,"Continente, país, región, ciudad, pueblo",1,-1.151388889,46.15944444,Q82185
Primera parte,León,León,"Continente, país, región, ciudad, pueblo",3,-5.566944444,42.59888889,Q15699
Primera parte,Lepanto,Nafpaktos,Accidente geográfico,1,21.8275,38.39166667,Q782278
Primera parte,Lisboa,Lisbon,"Continente, país, región, ciudad, pueblo",1,-9.139016,38.708042,Q597
Primera parte,Lombardía,Lombardy,"Continente, país, región, ciudad, pueblo",1,9.95,45.65,Q1210
Primera parte,Londres,London,"Continente, país, región, ciudad, pueblo",1,-0.1275,51.50722222,Q84
Primera parte,Lusitania,Lusitania,"Continente, país, región, ciudad, pueblo",1,-9.2,38.8,Q45
Primera parte,Málaga,Málaga,"Continente, país, región, ciudad, pueblo",1,-4.416666667,36.71666667,Q8851
Primera parte,Mallorca,Mallorca,"Continente, país, región, ciudad, pueblo",4,2.983333333,39.61666667,Q8828
Primera parte,Mantua,Mantua,"Continente, país, región, ciudad, pueblo",7,10.79111111,45.15638889,Q6247
Primera parte,Marruecos,Morocco,"Continente, país, región, ciudad, pueblo",1,-6,32,Q1028
Primera parte,Meca,Mecca,"Monumento, edificio, calle",1,39.82611111,21.4225,Q5806
Primera parte,Montiel,Montiel,"Continente, país, región, ciudad, pueblo",4,-2.862222222,38.69638889,Q1610078
Primera parte,Murcia,Murcia,"Continente, país, región, ciudad, pueblo",2,-1.130277778,37.98611111,Q12225
Primera parte,Nápoles,Naples,"Continente, país, región, ciudad, pueblo",4,14.24861111,40.83583333,Q2634
Primera parte,Nueva España,New Spain,"Continente, país, región, ciudad, pueblo",1,-99.13333333,19.43333333,Q170603
Primera parte,Nueva Vizcaya,Nueva Vizcaya,"Continente, país, región, ciudad, pueblo",1,-104.6578208,24.02710138,Q118121
Primera parte,Olivera de Valencia,Olivera de Valencia,"Monumento, edificio, calle",1,-0.372387471,39.47307351,X
Primera parte,Orán,Oran,"Continente, país, región, ciudad, pueblo",3,-0.633055556,35.69694444,Q131818
Primera parte,Osuna,Osuna,"Continente, país, región, ciudad, pueblo",4,-5.103055556,37.23722222,Q586018
Primera parte,Percheles de Málaga,Percheles de Málaga,"Continente, país, región, ciudad, pueblo",1,36.71336015,-4.430467801,X
Primera parte,Persia,Iran,"Continente, país, región, ciudad, pueblo",2,53,32,Q794
Primera parte,Pirineo,Pyrenees,Accidente geográfico,1,1,42.66666667,Q12431
Primera parte,Pisuerga,Pisuerga River,Accidente geográfico,1,-4.372972222,42.98705556,Q14757
Primera parte,Playa de Sanlúcar,Playa de Sanlúcar,"Continente, país, región, ciudad, pueblo",2,36.78557567,-6.359616421,X
Primera parte,Plaza de Zocodover,"Plaza de Zocodover, Toledo","Monumento, edificio, calle",2,-4.021375,39.85945556,Q2884002
Primera parte,Portugal,Portugal,"Continente, país, región, ciudad, pueblo",4,-9.183333333,38.7,Q45
Primera parte,Potro de Córdoba,Fountain del Potro,"Monumento, edificio, calle",2,-4.77492778,37.88115833,Q16569746
Primera parte,Puente de Mantible,Bridge of Mantible,"Monumento, edificio, calle",1,-2.507916667,42.51,Q3754535
Primera parte,Puerto Lápice,Puerto Lápice,"Continente, país, región, ciudad, pueblo",3,-3.481111111,39.32444444,Q1630316
Primera parte,Rávena,Ravenna,"Continente, país, región, ciudad, pueblo",1,12.20166667,44.41611111,Q13364
Primera parte,Roma,Rome,"Continente, país, región, ciudad, pueblo",2,12.48277778,41.89305556,Q220
Primera parte,Roncesvalles,Roncevaux Pass,Accidente geográfico,5,-1.32416667,43.01972222,Q1305618
Primera parte,Roncesvalles,Roncevaux Pass,Accidente geográfico,3,-1.32416667,43.01972222,Q1305618
Primera parte,Salamanca,Salamanca,"Continente, país, región, ciudad, pueblo",4,-5.664166667,40.965,Q15695
Primera parte,Sargel,Cherchell,"Continente, país, región, ciudad, pueblo",3,2.189957085,36.60765072,Q1617666
Primera parte,Segovia,Segovia,"Continente, país, región, ciudad, pueblo",3,-4.118333333,40.94805556,Q15684
Primera parte,Segovia,Segovia,"Continente, país, región, ciudad, pueblo",2,-4.118333333,40.94805556,Q15684
Primera parte,Sevilla,Seville,"Continente, país, región, ciudad, pueblo",11,-5.995555556,37.38861111,Q8717
Primera parte,Sierra Morena,Sierra Morena,Accidente geográfico,6,-5.4,38.3,Q686362
Primera parte,Sigüenza,Sigüenza,"Continente, país, región, ciudad, pueblo",1,-2.639166667,41.06916667,Q47475
